label_disease_nm,gender,age,breed,eye_position,age_mean
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,1,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,1,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,1,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,1,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,1,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,0,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,0,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,0,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,0,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,0,셀커크 렉스,오른쪽눈,0.0
안검염,수컷,0,셀커크 렉스,왼쪽눈,0.0
안검염,수컷,0,셀커크 렉스,왼쪽눈,0.0
안검염,암컷,9,스코티시 스트레이트,오른쪽눈,8.71
안검염,암컷,9,스코티시 스트레이트,왼쪽눈,8.71
